{'x': 4.26, 'y': 38.75, 't': 1649401825.607316}
{'x': 4.24, 'y': 38.78, 't': 1649401825.7074208}
{'x': 4.24, 'y': 38.79, 't': 1649401825.800394}
{'x': 4.24, 'y': 38.84, 't': 1649401825.9074435}
{'x': 4.2, 'y': 38.93, 't': 1649401826.0077415}
{'x': 4.18, 'y': 38.95, 't': 1649401826.1082377}
{'x': 4.19, 'y': 38.92, 't': 1649401826.207371}
{'x': 4.22, 'y': 38.86, 't': 1649401826.307271}
{'x': 4.25, 'y': 38.97, 't': 1649401826.4085412}
{'x': 4.23, 'y': 39.07, 't': 1649401826.500388}
{'x': 4.23, 'y': 39.14, 't': 1649401826.607407}
{'x': 4.2, 'y': 39.22, 't': 1649401826.7073665}
{'x': 4.2, 'y': 39.33, 't': 1649401826.8080544}
{'x': 4.18, 'y': 39.43, 't': 1649401826.907413}
{'x': 4.16, 'y': 39.51, 't': 1649401827.0081515}
{'x': 4.18, 'y': 39.61, 't': 1649401827.100409}
{'x': 4.15, 'y': 39.68, 't': 1649401827.207354}
{'x': 4.15, 'y': 39.78, 't': 1649401827.3068724}
{'x': 4.16, 'y': 39.88, 't': 1649401827.4092934}
{'x': 4.15, 'y': 39.98, 't': 1649401827.5075288}
{'x': 4.17, 'y': 40.05, 't': 1649401827.607116}
{'x': 4.17, 'y': 40.25, 't': 1649401827.7004445}
{'x': 4.19, 'y': 40.38, 't': 1649401827.8073077}
{'x': 4.19, 'y': 40.44, 't': 1649401827.9073155}
{'x': 4.19, 'y': 40.47, 't': 1649401828.0069742}
{'x': 4.2, 'y': 40.56, 't': 1649401828.1009996}
{'x': 4.21, 'y': 40.64, 't': 1649401828.2063577}
{'x': 4.22, 'y': 40.73, 't': 1649401828.3073564}
{'x': 4.24, 'y': 40.85, 't': 1649401828.407321}
{'x': 4.23, 'y': 40.93, 't': 1649401828.5081081}
{'x': 4.22, 'y': 41.02, 't': 1649401828.6081944}
{'x': 4.23, 'y': 41.16, 't': 1649401828.7073097}
{'x': 4.22, 'y': 41.24, 't': 1649401828.8075573}
{'x': 4.2, 'y': 41.43, 't': 1649401828.9005945}
{'x': 4.12, 'y': 41.66, 't': 1649401829.0072465}
{'x': 4.08, 'y': 41.82, 't': 1649401829.1070614}
{'x': 4.09, 'y': 41.95, 't': 1649401829.2006943}
{'x': 4.09, 'y': 42.05, 't': 1649401829.3073418}
{'x': 4.14, 'y': 42.06, 't': 1649401829.4083068}
{'x': 4.17, 'y': 42.05, 't': 1649401829.507376}
{'x': 4.21, 'y': 42.14, 't': 1649401829.6071005}
{'x': 4.22, 'y': 42.24, 't': 1649401829.707504}
{'x': 4.23, 'y': 42.36, 't': 1649401829.8013737}
{'x': 4.24, 'y': 42.46, 't': 1649401829.908486}
{'x': 4.23, 'y': 42.54, 't': 1649401830.0096836}
{'x': 4.21, 'y': 42.63, 't': 1649401830.101018}
{'x': 4.2, 'y': 42.72, 't': 1649401830.2073388}
{'x': 4.18, 'y': 42.85, 't': 1649401830.3017235}
{'x': 4.16, 'y': 42.97, 't': 1649401830.4073753}
{'x': 4.14, 'y': 43.12, 't': 1649401830.507348}
{'x': 4.12, 'y': 43.29, 't': 1649401830.6064453}
{'x': 4.12, 'y': 43.43, 't': 1649401830.7073412}
{'x': 4.11, 'y': 43.57, 't': 1649401830.807534}
{'x': 4.09, 'y': 43.7, 't': 1649401830.9074183}
{'x': 4.06, 'y': 43.84, 't': 1649401831.008526}
{'x': 4.05, 'y': 43.95, 't': 1649401831.1070282}
{'x': 4.06, 'y': 44.06, 't': 1649401831.2015197}
{'x': 4.06, 'y': 44.18, 't': 1649401831.3070576}
{'x': 4.06, 'y': 44.28, 't': 1649401831.4074295}
{'x': 4.04, 'y': 44.4, 't': 1649401831.507343}
{'x': 4.01, 'y': 44.51, 't': 1649401831.6073716}
{'x': 3.99, 'y': 44.63, 't': 1649401831.706889}
{'x': 3.98, 'y': 44.75, 't': 1649401831.8073306}
{'x': 3.97, 'y': 44.85, 't': 1649401831.9071972}
{'x': 3.95, 'y': 44.97, 't': 1649401832.0007699}
{'x': 3.93, 'y': 45.08, 't': 1649401832.107253}
{'x': 3.92, 'y': 45.19, 't': 1649401832.2093074}
{'x': 3.9, 'y': 45.26, 't': 1649401832.3075912}
{'x': 3.88, 'y': 45.37, 't': 1649401832.407295}
{'x': 3.86, 'y': 45.52, 't': 1649401832.5074117}
{'x': 3.84, 'y': 45.63, 't': 1649401832.6072366}
{'x': 3.84, 'y': 45.72, 't': 1649401832.7013886}
{'x': 3.84, 'y': 45.77, 't': 1649401832.8053372}
{'x': 3.81, 'y': 45.87, 't': 1649401832.9073043}
